uid,video_id,start_second,end_second,caption
10163aa4-3485-41ae-990b-7b5f1c7bf52e,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,3.8109597588600206,4.440017441139981,"A person is seen carrying a pot from the cooker with their left hand, while their right hand assists in the movement."
8374c4e0-3282-4929-bf9e-f30be70a3f99,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,4.54529975886002,5.17435744113998,"The left hand moves downwards to place the pot on the cooker, while the right hand supports it from below."
4bd59f2f-2382-4749-ba4f-ff28fc56964d,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,6.4961397588600205,7.1251974411399805,"A person is seen carrying a sauce pan from the counter with their right hand, while their left hand remains stationary."
17513dce-371a-4174-b9f8-8c41f599c12b,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,7.823779758860018,8.452837441139978,"The left hand moves downward to place the sauce pan on the cooker, while the right hand hovers nearby."
20f1ca97-69c1-4277-b1fd-cc9e2d53419c,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,10.84415975886002,11.47321744113998,Person turns on a light with their left hand while their right hand remains still.
010a2ffa-c25c-4027-be42-e9932cf13b49,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,12.540559758860018,13.169617441139978,"The left hand moves from the top left to the center, while the right hand remains still. The left hand picks up a bowl from the counter."
bab3e383-dff8-4a92-9c52-7fdeb9544115,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,14.62095975886002,15.25001744113998,#C C takes a sieve from the plate rack
f540026e-93ec-4ee5-9cdd-7b6e6dd64565,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,16.08804975886002,16.717107441139984,"The left hand moves downward to place the sieve in the sink. The right hand, initially empty, then reaches for and grabs a utensil from the counter."
70e44c1d-586a-4f3b-8d76-10a479c743a9,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,17.03600975886002,17.665067441139982,Person opens a cupboard with their left hand while holding an object with their right hand.
79b10e99-bf49-41da-9a68-07c1f4132c76,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,18.69627975886002,19.325337441139983,"The left hand moves downward to place the bowl in the cupboard, while the right hand assists from above."
5bfd5193-e449-4532-95dd-5fff3dc542db,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,20.590079758860018,21.21913744113998,"The left hand opens the cupboard, and the right hand closes it."
efe7cda9-28a5-432a-98c3-d3707db3efc6,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,23.42693975886002,24.055997441139983,"The left hand moves down to take the cover from the pot, while the right hand assists and guides the cover."
fafd934b-7168-478c-a072-c0218e9c3d68,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,24.16818975886002,24.797247441139984,"C takes the pot from the cooker with their left hand, while their right hand remains still."
90c51b10-1acd-4d51-bec9-8b17a4b4d18b,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,24.96580975886002,25.594867441139986,"The left hand moves downward to place the pot cover on the cooker, while the right hand holds the object steady."
574c86fc-3ec0-4f8e-ae4a-f31dbddc2fcc,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,26.45809975886002,27.087157441139983,"The left hand moves from bottom to top, while the right hand moves from left to right, simultaneously overturning the pot."
43f7ad49-9982-4e41-a1bd-eb190c489570,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,27.91792975886002,28.546987441139983,"The left hand moves down to open the tap, while the right hand remains still."
3fe18f72-6169-424d-86be-37ee7064915a,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,29.589329758860018,30.21838744113998,#C C fills the pot with water
45d5e066-afee-4e8c-bd85-a6b4c2aa92e9,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,47.48600975886002,48.11506744113999,"The left hand moves down to grab the pot cover, while the right hand holds it steady."
ee63da05-8be2-439c-a0dc-9aabbd2248a4,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,48.60731975886002,49.23637744113999,Person closes the tap with their left hand while holding an object with their right hand.
89a2ed8d-bb95-456a-ac62-95b8b66b0751,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,49.161829758860016,49.79088744113998,"The left hand moves downward and touches the pot, while the right hand remains still."
687529cf-a9f8-4ddd-a5d0-55900d80299a,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,50.27211975886002,50.90117744113999,"The left hand moves from the left to the center, placing the pot on the cooker while the right hand supports from below."
df1d4c6c-3de0-4162-962a-e14e3bc172e8,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,51.95823975886002,52.58729744113998,"The left hand moves a napkin across the counter from left to right, while the right hand remains still."
36c6e68a-7c4f-4796-9abf-c1f3b32ec46f,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,52.31645975886002,52.945517441139984,The left hand moves towards the cooker control and touches it. The right hand remains still.
e7821604-c33a-4cfa-9404-f5a9f2812306,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,55.621089758860016,56.25014744113998,"The left hand moves from the top left to the center, while the right hand approaches from the bottom right, both hands interacting with the plate rack."
abad9c27-11d8-42ea-bbd3-9458110b15f8,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,59.74360975886002,60.37266744113998,#C C opens the fridge
365d6438-e7a6-4940-ae7d-fc31ffff5932,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,61.77047975886002,62.399537441139984,"C reaches into the fridge and grabs a packet, then closes the fridge door."
0b440a8e-d4a4-468a-8982-137e56fee5d4,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,63.19047975886002,63.81953744113999,C opens the fridge and takes out a packet.
6feac775-8b8f-4baa-ad70-1d0301928af9,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,64.56009975886002,65.18915744113997,Person closes the fridge with their left hand while holding an object in their right hand.
38e8270b-d405-473e-8788-366bb6fdfadf,9e4edf4d-e557-4b3d-bc35-0d7f1f91019b,66.38541975886002,67.01447744113997,"The left hand moves downward to place the packet on the counter, while the right hand remains stationary."
